0.8200 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
12.0321 	EXP 	Created downlefttangle = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='downlefttangle', opacity=1.0, ori=0.0, pos=array([-0.2, -0.2]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
12.0342 	EXP 	Created uplefttangle = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='uplefttangle', opacity=1.0, ori=0.0, pos=array([-0.2,  0.2]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
12.0344 	EXP 	window1: mouseVisible = True
12.0601 	EXP 	Created uprtext = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='uprtext', opacity=1, ori=0.0, pos=array([0.2, 0.1]), rgb=UNKNOWN, text='B', units='height', win=Window(...), wrapWidth=1)
12.0637 	EXP 	Created downrtext = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1.        ,  0.00392157, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='downrtext', opacity=1, ori=0.0, pos=array([ 0.2, -0.3]), rgb=UNKNOWN, text='D', units='height', win=Window(...), wrapWidth=1)
12.0670 	EXP 	Created downltext = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='downltext', opacity=1, ori=0.0, pos=array([-0.2, -0.3]), rgb=UNKNOWN, text='C', units='height', win=Window(...), wrapWidth=1)
12.0702 	EXP 	Created upltext = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([ 0.00392157, -1.        ,  0.00392157]), colorSpace='rgb', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='upltext', opacity=1, ori=0.0, pos=array([-0.2,  0.1]), rgb=UNKNOWN, text='A', units='height', win=Window(...), wrapWidth=1)
12.0759 	EXP 	Created backtangle = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-10.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='backtangle', opacity=1, ori=0.0, pos=array([-0.7,  0.4]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.1102 	EXP 	textbox: autoLog = True
12.1102 	EXP 	uprighttangle: autoDraw = True
12.1102 	EXP 	downrighttangle: autoDraw = True
12.1102 	EXP 	downlefttangle: autoDraw = True
12.1102 	EXP 	uplefttangle: autoDraw = True
12.1102 	EXP 	uprtext: autoDraw = True
12.1102 	EXP 	downrtext: autoDraw = True
12.1102 	EXP 	downltext: autoDraw = True
12.1102 	EXP 	upltext: autoDraw = True
12.1102 	EXP 	textbox: autoDraw = True
12.1102 	EXP 	backtangle: autoDraw = True
15.2276 	DATA 	Keypress: escape
15.8790 	EXP 	window1: mouseVisible = True
